Class	Order	Family	Genus	species	Genus_species	Gaspar_code	Size_cm	Geo_range	Diet_level	Home_range	Activity	Level_water	Schooling
actinopterygii_(ray-finned_fishes)	perciformes	carangidae	alectis	indicus	alectis_indicus	10	165	131	FC	VMob	Both	High	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	carangidae	alepes	djedaba	alepes_djedaba	1889	40	47	PK	VMob	Both	High	LargeG
actinopterygii_(ray-finned_fishes)	perciformes	carangidae	alepes	kleinii	alepes_kleinii	1903	16	36	PK	VMob	Both	High	LargeG
actinopterygii_(ray-finned_fishes)	ophidiiformes	bythitidae	alionematichthys	riukiuensis	alionematichthys_riukiuensis	27338	7,87	5	IM	Sed	Night	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	blenniidae	alloblennius	anuchalis	alloblennius_anuchalis	52390	2,39	2	HD	Sed	Day	Low	Sol
actinopterygii_(ray-finned_fishes)	perciformes	blenniidae	alloblennius	parvus	alloblennius_parvus	16940	2,6	11	HD	Sed	Day	Low	Sol
actinopterygii_(ray-finned_fishes)	perciformes	labrisomidae	alloclinus	ocellatus	alloclinus_ocellatus	1150	10		IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	Xenisthmidae	allomicrodesmus	dorotheae	allomicrodesmus_dorotheae	17476	2	2	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	serranidae	alphestes	afer	alphestes_afer	8726	33	13	IM	Sed	Day	Low	Sol
actinopterygii_(ray-finned_fishes)	perciformes	serranidae	alphestes	immaculatus	alphestes_immaculatus	8727	30	16	IM	Sed	Night	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	serranidae	alphestes	multiguttatus	alphestes_multiguttatus	8728	30	15	IM	Sed	Night	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	blenniidae	alticus	andersoni	alticus_andersoni	m-1007a-g	5		HD	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	blenniidae	alticus	anjouanae	alticus_anjouanae	52971	7,62	5	HD	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	blenniidae	alticus	arnoldorum	alticus_arnoldorum	56805	8	8	HD	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	blenniidae	alticus	kirkii	alticus_kirkii	46411	11	19	HD	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	blenniidae	alticus	montanoi	alticus_montanoi	59611	10	3	HD	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	blenniidae	alticus	orientalis	alticus_orientalis	11998	8,75		HD	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	blenniidae	alticus	saliens	alticus_saliens	6031	10	31	HD	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	blenniidae	alticus	sertatus	alticus_sertatus	62209	8	6	HD	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	blenniidae	alticus	simplicirrus	alticus_simplicirrus	61229	3,7	1	HD	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	tetraodontiformes	monacanthidae	aluterus	heudelotii	aluterus_heudelotii	4273	45	10	OM	VMob	Day	High	MedG
actinopterygii_(ray-finned_fishes)	tetraodontiformes	monacanthidae	aluterus	monoceros	aluterus_monoceros	4274	76,2	96	PK	VMob	Both	High	Sol
actinopterygii_(ray-finned_fishes)	tetraodontiformes	monacanthidae	aluterus	schoepfii	aluterus_schoepfii	1081	61	23	OM	VMob	Day	High	MedG
actinopterygii_(ray-finned_fishes)	tetraodontiformes	monacanthidae	aluterus	scriptus	aluterus_scriptus	4275	110	159	PK	VMob	Both	Low	Sol
actinopterygii_(ray-finned_fishes)	tetraodontiformes	monacanthidae	amanses	scopas	amanses_scopas	6672	20	74	IM	Mob	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	ambassidae	ambassis	gymnocephalus	ambassis_gymnocephalus	4806	16		PK	Mob	Both	High	LargeG
actinopterygii_(ray-finned_fishes)	perciformes	cirrhitidae	amblycirrhitus	bimacula	amblycirrhitus_bimacula	5829	8,5	61	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	cirrhitidae	amblycirrhitus	earnshawi	amblycirrhitus_earnshawi	22482	6,650000095	1	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	cirrhitidae	amblycirrhitus	itycirrhitus	amblycirrhitus_itycirrhitus	ird-5139-g	5		IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	cirrhitidae	amblycirrhitus	pinos	amblycirrhitus_pinos	3655	9,5	26	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	cirrhitidae	amblycirrhitus	unimacula	amblycirrhitus_unimacula	23501	8,5	9	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	arcupinna	amblyeleotris_arcupinna	59331	11	12	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	aurora	amblyeleotris_aurora	12694	11	12	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	bellicauda	amblyeleotris_bellicauda	62930	5	4	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	biguttata	amblyeleotris_biguttata	62928	7,8	3	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	diagonalis	amblyeleotris_diagonalis	13152	11	38	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	ellipse	amblyeleotris_ellipse	62929	4,4	1	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	exilis	amblyeleotris_exilis	ird-6815-g	3,59		IM	Sed	Day	Bottom	Sol
